Voltage (mV)	WT rats			HIP rats	
		 Mean	SEM		 Mean	SEM
-35		 0.0000	0.0000		 0.0000	0.0000
-30		-0.3993	0.1066		-0.3943	0.0721
-25		-1.4538	0.2765		-1.4176	0.2264
-20		-3.2911	0.4689		-3.3257	0.4701
-15		-4.9482	0.5870		-5.2529	0.6882
-10		-5.8581	0.6249		-6.3660	0.8127
-5		-6.0904	0.6390		-6.7334	0.8915
0		-5.9285	0.5985		-6.5510	0.9141
5		-5.5772	0.5562		-6.1003	0.8712
10		-5.0098	0.5193		-5.4637	0.7908
15		-4.3659	0.4727		-4.7823	0.6850
20		-3.7469	0.4286		-4.0292	0.5750
25		-3.1476	0.3758		-3.2703	0.4907
30		-2.5278	0.3240		-2.5788	0.3966
35		-1.9645	0.2952		-1.9128	0.3175
40		-1.4527	0.2621		-1.2988	0.2717
45		-1.0297	0.2223		-0.7774	0.2198
50		-0.6363	0.1971		-0.2887	0.1989
55		-0.3264	0.1936		 0.1139	0.1735
60		-0.0056	0.1966		 0.4614	0.1675





